ratio_percent;simu;scenario;variable
2.01891200165602;simu6;scequartercodclosure;propfeffort
3.18431048814701;simu7;scequartercodclosure;propfeffort
3.90834507389528;simu8;scequartercodclosure;propfeffort
3.18138203039207;simu9;scequartercodclosure;propfeffort
4.28206196445153;simu10;scequartercodclosure;propfeffort
0.301134212092251;simu1;scebaseline;nbtrip
0.50579795154087;simu2;scebaseline;nbtrip
0.79545146390187;simu3;scebaseline;nbtrip
0.579581924627263;simu4;scebaseline;nbtrip
0.706071673959414;simu5;scebaseline;nbtrip
0.721538558912087;simu6;scebaseline;nbtrip
0.318655068283235;simu7;scebaseline;nbtrip
0.0396498199988287;simu8;scebaseline;nbtrip
0.557108094320128;simu9;scebaseline;nbtrip
0.451423494766459;simu10;scebaseline;nbtrip
-0.0617595614620399;simu1;sceavchokpszpectra;nbtrip
-0.0194017055452775;simu2;sceavchokpszpectra;nbtrip
0.0501676775529063;simu3;sceavchokpszpectra;nbtrip
-0.0668053931813404;simu4;sceavchokpszpectra;nbtrip
0.05107944888438;simu5;sceavchokpszpectra;nbtrip
0.165013517545674;simu6;sceavchokpszpectra;nbtrip
-0.104115022310353;simu7;sceavchokpszpectra;nbtrip
-0.175720793176623;simu8;sceavchokpszpectra;nbtrip
0.0216703310594397;simu9;sceavchokpszpectra;nbtrip
0.055469620236039;simu10;sceavchokpszpectra;nbtrip
-97.5165443496763;simu1;scesizespectrastopifchok;nbtrip
-97.0387582908451;simu2;scesizespectrastopifchok;nbtrip
-97.3664229090022;simu3;scesizespectrastopifchok;nbtrip
-96.7400773678675;simu4;scesizespectrastopifchok;nbtrip
-97.22814884461;simu5;scesizespectrastopifchok;nbtrip
-97.8286029458304;simu6;scesizespectrastopifchok;nbtrip
-96.5844864109614;simu7;scesizespectrastopifchok;nbtrip
-97.1952258012192;simu8;scesizespectrastopifchok;nbtrip
-96.8754091403651;simu9;scesizespectrastopifchok;nbtrip
-96.8080164875554;simu10;scesizespectrastopifchok;nbtrip
-96.4621238076347;simu1;sceavchokpszpctrastopifchok;nbtrip
-96.4950593331228;simu2;sceavchokpszpctrastopifchok;nbtrip
-97.5612181254463;simu3;sceavchokpszpctrastopifchok;nbtrip
-97.8577135402796;simu4;sceavchokpszpctrastopifchok;nbtrip
-97.3131305825769;simu5;sceavchokpszpctrastopifchok;nbtrip
-96.5799253144299;simu6;sceavchokpszpctrastopifchok;nbtrip
-95.7200162257178;simu7;sceavchokpszpctrastopifchok;nbtrip
-97.7656425298387;simu8;sceavchokpszpctrastopifchok;nbtrip
-96.544485126478;simu9;sceavchokpszpctrastopifchok;nbtrip
-97.7586665644462;simu10;sceavchokpszpctrastopifchok;nbtrip
-0.77176911841606;simu1;sceavhtariffspszpctratariffs;nbtrip
-0.291927988088261;simu2;sceavhtariffspszpctratariffs;nbtrip
-0.39365808241962;simu3;sceavhtariffspszpctratariffs;nbtrip
-0.457255833058738;simu4;sceavhtariffspszpctratariffs;nbtrip
-0.201153581889841;simu5;sceavhtariffspszpctratariffs;nbtrip
-0.0623886723871436;simu6;sceavhtariffspszpctratariffs;nbtrip
-0.259611484202466;simu7;sceavhtariffspszpctratariffs;nbtrip
-0.201853629084951;simu8;sceavhtariffspszpctratariffs;nbtrip
-0.368395628010703;simu9;sceavhtariffspszpctratariffs;nbtrip
-0.299896727292406;simu10;sceavhtariffspszpctratariffs;nbtrip
2.71020790883027;simu1;scetrgthtariffspszpctratariffs;nbtrip
2.3611424446149;simu2;scetrgthtariffspszpctratariffs;nbtrip
3.51038154552603;simu3;scetrgthtariffspszpctratariffs;nbtrip
2.9471108924388;simu4;scetrgthtariffspszpctratariffs;nbtrip
4.24275847105196;simu5;scetrgthtariffspszpctratariffs;nbtrip
4.11720028572205;simu6;scetrgthtariffspszpctratariffs;nbtrip
2.43340695001577;simu7;scetrgthtariffspszpctratariffs;nbtrip
2.31636050697701;simu8;scetrgthtariffspszpctratariffs;nbtrip
2.84332802109246;simu9;scetrgthtariffspszpctratariffs;nbtrip
2.51101500385582;simu10;scetrgthtariffspszpctratariffs;nbtrip
-0.761851524604651;simu1;sceannualcodclosure;nbtrip
-0.379010061814739;simu2;sceannualcodclosure;nbtrip
-0.492185593289278;simu3;sceannualcodclosure;nbtrip
-0.762845368084172;simu4;sceannualcodclosure;nbtrip
-0.409991682638406;simu5;sceannualcodclosure;nbtrip
-0.436720706709949;simu6;sceannualcodclosure;nbtrip
-0.855906611979989;simu7;sceannualcodclosure;nbtrip
-0.701531474297454;simu8;sceannualcodclosure;nbtrip
-0.55169051155525;simu9;sceannualcodclosure;nbtrip
-0.674203920755119;simu10;sceannualcodclosure;nbtrip
-1.87622842923346;simu1;scequartercodclosure;nbtrip
-1.87429499616478;simu2;scequartercodclosure;nbtrip
-1.46344990915583;simu3;scequartercodclosure;nbtrip
-1.42999652431401;simu4;scequartercodclosure;nbtrip
-1.57397027447294;simu5;scequartercodclosure;nbtrip
-1.4123348734595;simu6;scequartercodclosure;nbtrip
-1.71677108216524;simu7;scequartercodclosure;nbtrip
-1.89418003721677;simu8;scequartercodclosure;nbtrip
-1.60857061593401;simu9;scequartercodclosure;nbtrip
-1.87108499479127;simu10;scequartercodclosure;nbtrip
0.199869363188128;simu1;scebaseline;av_bwtrip
0.0074779484190941;simu2;scebaseline;av_bwtrip
-0.164200070044814;simu3;scebaseline;av_bwtrip
0.0343622064858238;simu4;scebaseline;av_bwtrip
-0.55292218965694;simu5;scebaseline;av_bwtrip
-0.400228701867661;simu6;scebaseline;av_bwtrip
0.100553759757702;simu7;scebaseline;av_bwtrip
0.382448744900501;simu8;scebaseline;av_bwtrip
-0.241220468237373;simu9;scebaseline;av_bwtrip
0.169614851540572;simu10;scebaseline;av_bwtrip
0.0593573429689513;simu1;sceavchokpszpectra;av_bwtrip
0.16639725633425;simu2;sceavchokpszpectra;av_bwtrip
0.132776873907758;simu3;sceavchokpszpectra;av_bwtrip
0.311170033026428;simu4;sceavchokpszpectra;av_bwtrip
-0.294304834514122;simu5;sceavchokpszpectra;av_bwtrip
-0.0942165308099305;simu6;sceavchokpszpectra;av_bwtrip
0.214265739658089;simu7;sceavchokpszpectra;av_bwtrip
0.324455570891757;simu8;sceavchokpszpectra;av_bwtrip
0.0987686375281527;simu9;sceavchokpszpectra;av_bwtrip
0.0469597170144311;simu10;sceavchokpszpectra;av_bwtrip
8029.68330404366;simu1;scesizespectrastopifchok;av_bwtrip
8191.6188111481;simu2;scesizespectrastopifchok;av_bwtrip
4512.09929472141;simu3;scesizespectrastopifchok;av_bwtrip
10657.1935720914;simu4;scesizespectrastopifchok;av_bwtrip
